>>> 1   كتاب الطهارة  
2   باب طلاق السنة  
3   باب ما يفعل إذا طلقها تطليقة وهي حائض  
4   باب طلاق الحامل  
5   باب الطلاق لغير العدة  
6   الطلاق لغير العدة وما يحسب على المطلق منه  
7   طلاق الثلاث المجموعة وما فيه من التغليظ  
8   باب الرخصة في ذلك  
9   باب طلاق الثلاث المتفرقة قبل الدخول بالزوجة  
10   الطلاق للتي تنكح زوجا ثم لا يدخل لها  
11   طلاق البتة  
12   أمرك بيدك  
13   باب إحلال المطلقة ثلاثا والنكاح الذي يحلها لمطلقها  
14   باب إحلال المطلقة ثلاثا وما فيه من التغليظ  
15   باب مواجهة الرجل المرأة بالطلاق  
16   باب إرسال الرجل إلى زوجته بالطلاق  
17   قوله جل ثناؤه يا أيها النبي لم تحرم ما أحل الله لك  
18   تأويل هذه الآية على وجه آخر  
19   باب الحقي بأهلك  
20   باب طلاق العبد  
21   باب من يقع طلاقه من الأزواج  
22   باب من لا يقع طلاقه من الأزواج  
23   باب من طلق في نفسه  
24   الطلاق بالإشارة المفهومة  
25   باب الطلاق إذا قصد به لما يحتمله معناه  
26   باب الإبانة والإفصاح بأن الكلمة الملفوظ بها إذا قصد بها لما لا يحتمله معناها لم توجب شيئا ولم تثبت حكما  
27   باب التوقيت في الخيار  
28   باب في المخيرة تختار زوجها  
29   خيار المملوكين يعتقان  
30   باب خيار الأمة تعتق  
31   باب خيار الأمة تعتق وزوجها حر  
32   باب خيار الأمة تعتق وزوجها مملوك  
33   باب الإيلاء  
34   باب الظهار  
35   باب ما جاء في الخلع  
36   باب بدء اللعان  
37   باب اللعان بالحبل  
38   كيف اللعان  
39   باب قول الإمام اللهم بين  
40   باب الأمر بوضع اليد على في المتلاعنين عند الخامسة  
41   باب عظة الإمام الرجل والمرأة عند اللعان  
42   باب التفريق بين المتلاعنين  
43   استتابة المتلاعنين بعد اللعان  
44   اجتماع المتلاعنين  
45   باب نفي الولد باللعان وإلحاقه بأمه  
46   باب إذا عرض بامرأته وشك في ولده وأراد الانتفاء منه  
47   باب التغليظ في الانتفاء من الولد  
48   باب إلحاق الولد بالفراش إذا لم ينفه صاحب الفراش  
49   باب فراش الأمة  
50   باب القرعة إذا تنازعوا في الولد وذكر الاختلاف على الشعبي في حديث زيد بن أرقم  
51   باب القافة  
52   إسلام أحد الزوجين وتخيير الولد  
53   عدة المختلعة  
54   باب عدة المتوفى عنها زوجها  
55   باب عدة الحامل المتوفى عنها زوجها  
56   ما استثنى من عدة المطلقات  
57   عدة المتوفي عنها زوجها قبل أن يدخل بها  
58   باب الإحداد  
59   باب سقوط الإحداد عن الكتابية التوفي عنها زوجها  
60   مقام المتوفي عنها زوجها في بيتها حتى تحل  
61   باب الرخصة للمتوفي عنها زوجها أن تعتد حيث شاءت  
62   عدة المتوفي عنها زوجها من يوم يأتيها الخبر  
63   ترك الزينة للحادة المسلمة دون اليهودية والنصرانية  
64   ما تجتنب المعتدة من الثياب المصبغة  
65   باب الخضاب للحادة  
66   باب الرخصة للحادة أن تمتشط بالسدر  
67   النهي عن الكحل للحادة  
68   القسط والأظفار للحادة  
69   باب نسخ متاع المتوفى عنها بما فرض لها من الميراث  
70   الرخصة في خروج المبتوتة من بيتها في عدتها وترك سكناها  
71   باب خروج المبتوتة بالنهار  
72   باب نفقة البائنة  
73   نفقة الحامل المبتوتة  
74   الأقراء  
75   باب نسخ المراجعة بعد التطليقات الثلاث  
76   باب الرجعة  
-----------------
>>> 45   كتاب إحياء الموات  
1   باب الحث على إحياء الموات  
2   من أحيا أرضا ميتة ليست لأحد  
3   الإقطاع  
4   ما يحمي من الأراك  
5   باب المانع فضله  
6   باب الحمى  
-----------------
>>> 46   كتاب العارية  
1   باب تضمين العارية  
2   باب ذكر اختلاف شريك وإسرائيل على عبد العزيز بن رفيع في هذا الحديث  
3   المنيحة  
4   تضمين أهل الماشية ما أفسدت مواشيهم بالليل رواية بن حيوة  
5   ذكر الاختلاف على الزهري في هذا الحديث رواية بن حيوة  
6   في الدابة تصيب برجلها رواية بن حيوة  
-----------------
>>> 47   كتاب الضوال  
1   باب ذكر اختلاف الناقلين للخبر في ذلك الاختلاف على مطرف  
2   باب ذكر الاختلاف على أيوب فيه  
3   باب ذكر الاختلاف على أبي حيان في حديث جرير لا يؤوي الضالة إلا ضال  
-----------------
>>> 48   كتاب اللقطة  
1   باب النهي عن لقطة الحاج  
2   الإشهاد على اللقطة وذكر اختلاف خالد الحذاء والجريري على يزيد بن عبد الله في حديث عياض بن حمار فيه  
3   الأمر بتعريف اللقطة وذكر اختلاف الناقلين للخبر في ذلك  
4   ذكر الاختلاف على الوليد بن كثير في خبر سفيان بن عبد الله في تعريف اللقطة  
5   ذكر اختلاف ألفاظ الناقلين لخبر أبي بن كعب في اللقطة  
6   إذا أخبر صاحب اللقطة بصفتها هل تدفع إليه  
7   ما وجد من اللقطة في القرية الجامعة  
8   ما وجد من اللقطة في القرية غير العامرة ولا المسكونة  
-----------------
>>> 49   كتاب الركاز  
1   باب ذكر الركاز  
-----------------
>>> 50   كتاب العلم  
1   باب فضل العلم   
2   الاغتباط في العلم  
3   الحرص على العلم  
4   مثل من فقه في دين الله تعالى  
5   الرحلة في طلب العلم  
6   الرحلة في المسألة النازلة  
7   تبليغ الشاهد الغائب  
8   الحث على إبلاغ العلم  
9   التحريض على حفظ الإيمان والعلم والتبليغ  
10   ذكر قول النبي صلى الله عليه و سلم رب مبلغ أوعى من سامع  
11   كتابة العلم  
12   كتابة العلم في الصحف  
13   كتابة العلم في الألواح والأكتاف  
14   كتاب أهل العلم بالعلم إلى البلدان  
15   الكتاب بالعلم إلى البلد النائي  
16   العرض على العالم  
17   متى يصح سماع الصغير  
18   حفظ العلم  
19   مسألة علم لا ينسى  
20   السهر في العلم  
21   الضحك عند السؤال  
22   إذا سئل العالم عما يكره  
23   ما يستحب للعالم إذا سئل أي الناس أعلم بكل العلم إلى الله لمن يخرج فيه شيئا هل يجعل للعالم موضع مشرف ليعرف الغريب إذا أتاه  
24   كيف الجلوس عند العالم  
25   إجلال السائل المسؤول  
26   باب الاختصاص بالعلم قوما دون قوم  
27   من سأل وهو قائم عالما جالسا  
28   من سلم على عالم وهو مشغول في حديثه لم يخرج فيه شيئا من يسأل عن علم وهو واقف على راحلته  
29   الإنصات للعلماء  
30   توقير العلماء  
31   الجواب بإشارة اليد والرأس لم يخرج فيه شيئا ورفع الصوت بالعلم  
32   باب الحياء في العلم  
33   باب من استحيا فأمر غيره فسأل  
34   التخول بالموعظة  
35   الغضب عند الموعظة والتعليم إذا رأى العالم ما يكره  
36   موعظة الإمام النساء وتعلمهن  
37   هل يجعل العالم للنساء يوما على حدة في طلب العلم  
38   الجلوس حيث ينتهي به المجلس  
39   ذكر العلم والفتيا في المسجد  
40   الفتيا عند رمي الجمار ترك بعض الاختيار مخافة أن يقصر فهم بعض الناس فيقعوا في أشد منه  
41   قوله جل ثناؤه { وما أوتيتم من العلم إلا قليلا } رفع العلم وظهور الجهل  
42   كيف يرفع العلم  
43   من تعلم العلم لغير الله  
44   من تعلم ليقال فلان عالم من كذب على رسول الله صلى الله عليه و سلم  
-----------------
>>> 51   كتاب القضاء وصلى الله على سيدنا محمد وعلى آله وصحبه وسلم تسليما   
1   فضل الحاكم العادل في حكمه  
2   باب ذكر الاختلاف على الزهري في هذا الحديث  
3   باب ثواب الإصابة في الحكم بعد الاجتهاد لمن له أن يجتهد  
4   ذكر ما أعد الله تعالى للحاكم الجاهل  
5   التغليظ في الحكم  
6   الحرص على الإمارة  
7   ترك استعمال من يحرص على القضاء  
8   استعمال الشعراء المأمونين على الحكم  
9   ترك استعمال النساء على الحكم  
10   باب إذا نزل قوم على حكم رجل فحكم فيهم وفي ذراريهم  
11   إذا حكموا رجلا ورضوا به فحكم نسخة فقضى بينهم  
12   تأويل قول الله جل ثناؤه ومن لم يحكم بما أنزل الله فأولئك هم الكافرون  
13   الأئمة من قريش  
14   الاستدلال بأن حكم الحاكم لا يحل شيئا ولا يحرمه  
15   الحكم بما اتفق عليه أهل العلم  
16   باب الحكم التشبيه والتمثيل وذكر اختلاف محمد وهشيم على يحيى بن أبي إسحاق  
17   باب الحكم بالظاهر  
18   الفهم والقضاء والتدبير فيه والحكم بالاستدلال  
19   التوسعة للحاكم في أن يقول للشيء الذي لا يفعله أفعل ليستبين له الحق  
20   باب الحكم بخلاف ما يعترف به المحكوم له إذا تبين للحاكم أن الحق غير ما اعترف به  
21   باب نقض الحاكم ما حكم به غيره ممن هو مثله أو أجل منه  
22   إذا قضى الحاكم بجور هل يرد حكمه  
23   الحال الذي ينبغي للحاكم أن يجتنب فيه القضاء  
24   التسهيل للحاكم المأمون أن يحكم وهو غضبان  
25   حكم الحاكم في داره  
26   لا باب   
27   مسير الحاكم إلى رعيته ليصلح بينهم  
28   توجيه تحكيم الحاكم رجلا وعبده للنظر في الحكم وانفاذه * *  
29   إشارة الحاكم على الخصم بالصلح  
30   إشارة الحاكم على الخصم بالعفو  
31   باب إشارة الحاكم بالرفق  
32   باب هل يشفع الحاكم على الخصوم قبل فصل الحكم  
33   باب منع الحاكم رعيته من فعل ما ألحظ لهم في خلاف ما فعلوه  
34   القضاء في قليل الماء وكثيره  
35   قضاء الحاكم على الغائب إذا عرفه  
36   النهي عن أن يقضي في قضاء بقضاءين  
37   ما يقطع القضاء  
38   باب الألد الخصم  
39   استماع الحاكم من غير من له الحق يحضره من له الحق إذا كان صغيرا أو ضعيفا  
40   التوسعة للحاكم أن لا يزجر المدعي عما يلفظ به في خصمه بحضرته  
41   على من البينة  
42   الإباحة للحاكم أن يقول للمدعي عليه احلف قبل أن يسأله المدعي وذكر اختلاف ألفاظ الناقلين لخبر أشعث بن قيس في ذلك  
43   على من اليمين  
44   ذكر الاختلاف على عدي بن عدي فيمن حلف على مال امرئ مسلم  
45   الشيء يدعيه الرجلان وليس ولكل واحد منهما بينته  
46   الاستهام على اليمين  
47   كيف يمين الوارث  
48   كيف اليمين وذكر اختلاف ألفاظ الناقلين للخبر فيه  
49   رد اليمين وذكر اختلاف ألفاظ الناقلين لخبر سهل فيه *  
50   الحكم باليمين مع الشاهد الواحد  
51   اليمين على المنبر  
52   اليمين بعد العصر  
53   من اقتطع مال امرئ مسلم بيمينه  
54   شهادة الزور  
55   ذكر النهي عن قبول الشهادة إلا على حق  
56   شهادة الشاعر  
57   ما يجوز من شهادة الأمة  
58   شهادة المرأة على فعل نفسها حديث  
59   من خير الشهداء  
60   باب من يعطي الشهادة ولا يسألها  
61   من تبدر شهادته يمينه  
62   التعديل والجرح عند المسألة  
63   تعديل النساء وجرحهن  
64   مسألة الحاكم أهل العلم بالسلعة التي تباع  
65   الحكم بالقافة  
66   الحكم بالقرعة وذكر اختلاف الناقلين لخبر علي بن أبي طالب في ذلك  
67   ذكر اسم هذا الحضرمي  
-----------------
>>> 52   كتاب البيوع  
1   باب اجتناب الشبهات في الكسب حدثنا أبو عبد الرحمن أحمد بن شعيب قال  
2   باب الحث على الكسب  
3   باب التجارة  
4   ما يجب على التجار من التوقية في مبايعتهم  
5   المنفق سلعته بالحلف الكاذب  
6   الحلف الواجب للخديعة في البيع  
7   الأمر بالصدقة لمن لم يعقد اليمين بقلبه في حال بيعه  
8   وجوب الخيار للمتبايعين قبل افتراقهما  
9   ذكر الاختلاف على عبد الله بن دينار في لفظ هذا الحديث  
10   وجوب الخيار للمتبايعين قبل افتراقهما بأبدانهما  
11   الخديعة في البيع  
12   المحفلة  
13   النهي عن التصرية وهو أن يربط أخلاف الناقة أو الشاه وتترك من الحلب اليومين والثلاث حتى يجتمع لها لبن فيزيد مشتريها في ثمنها لما يرى من كثرة لبنها  
14   الخراج بالضمان  
15   بيع المهاجر للأعرابي  
16   بيع الحاضر للبادي  
17   التلقي  
18   سوم الرجل على سوم أخيه  
19   بيع الرجل على بيع أخيه  
20   في النجش  
21   البيع فيمن يزيد  
22   بيع الملامسة  
23   تفسير ذلك  
24   بيع المنابذة  
25   تفسير ذلك  
26   بيع الحصاة  
27   بيع الثمر قبل أن يبدو صلاحه  
28   شراء الثمار قبل أن يبدو صلاحها على أن يقطعها ولا يتركها إلى أوان إدراكها  
29   وضع الجوائح  
30   بيع الثمر سنين  
31   بيع الثمر بالتمر  
32   بيع الكرم بالزبيب  
33   باب بيع العرية  
34   باب بيع العرايا بخرصها تمرا  
35   بيع العرايا بالرطب  
36   اشتراء التمر بالرطب  
37   بيع الصبرة من التمر لا يعلم مكيلتها بالكيل المسمى من التمر  
38   بيع الصبرة من الطعام بالصبرة من الطعام  
39   بيع الزرع بالطعام  
40   بيع السنبل حتى يبيض  
41   بيع التمر بالتمر متفاضلا  
42   بيع التمر التمر  
43   بيع البر بالبر  
44   بيع الشعير بالشعير  
45   باب بيع الملح بالملح  
46   بيع الدينار بالدينار  
47   بيع الدرهم بالدرهم  
48   بيع الذهب بالذهب  
49   بيع القلادة فيها الخرز والذهب بالذهب  
50   بيع الفضة بالذهب نسيئة  
51   بيع الفضة بالذهب وبيع الذهب بالفضة  
52   أخذ الورق من الذهب والذهب من الورق وذكر اختلاف ألفاظ الناقلين لخبر بن عمر فيه  
53   أخذ الورق من الذهب  
54   الزيادة في الوزن الورق  
55   الرجحان في الوزن  
56   بيع الطعام قبل أن يستوفى  
57   النهي عن بيع ما اشترى من الطعام بكيل حتى يستوفى  
58   بيع اشترى من الطعام جزافا قبل أن ينقل من مكانه  
59   الرجل يشتري الطعام إلى أجل ويسترهن البائع منه بالثمن منه رهنا  
60   الرهن في الحضر  
61   بيع ما ليس عند البائع  
62   السلم في الطعام  
63   السلم في الزبيب  
64   السلف في الثمار  
65   استسلاف الحيوان واستقراضه  
66   بيع الحيوان بالحيوان نسيئة  
67   بيع الحيوان بالحيوان يدا بيد متفاضلا  
68   بيع حبل الحبلة  
69   تفسير ذلك  
70   بيع السنين  
71   البيع إلى الأجل غير المعلوم  
72   سلف وبيع وهو أن يبيع السلعة على أن يسلفه سلفا  
73   شرطان في بيع وهو أن يقول أبيعك هذه السلعة إلى شهر بكذا وإلى شهرين بكذا  
74   النهي عن بيعتين في بيعة وهو أن يقول أبيعك هذه السلعة بمائة درهم نقدا وبمائتي درهم نسيئة  
75   النهي عن بيع الثنيا حتى تعلم  
76   النخل يباع أصلها ويستثني المشتري ثمنها  
77   العبد يباع ويستثني المشتري ماله  
78   البيع يكون فيه الشرط فيصح البيع والشرط  
79   البيع يكون فيه الشرط الفاسد فيصح البيع ويبطل الشرط  
80   بيع المغانم قبل أن تقسم  
81   في بيع المشاع  
82   التسهيل في ترك الاشهاد على البيع  
83   اختلاف المتبايعين في الثمن  
84   مبايعة أهل الكتاب  
85   بيع المدبر  
86   بيع المكاتبة  
87   تبتاع المكاتبة قبل أن تقضي من كتابتها شيئا  
88   بيع الولاء  
89   بيع الماء  
90   بيع فضل الماء  
91   بيع الخمر  
92   باب بيع الكلب  
93   ما استثني منه  
94   بيع الخنزير  
95   بيع ضراب الجمل  
96   الرجل يبتاع البيع فيفلس ويوجد المتاع بعينه  
97   الرجل يبيع السلعة فيستحقها مستحق عليه  
98   الرجل يبيع السلعة من رجل ثم يبيعها بعينها  
99   الاستقراض  
100   التغليظ في الدين  
101   التسهيل فيه  
102   مطل الغني  
103   الحوالة  
104   الكفالة بالدين  
105   الترغيب في حسن القضاء  
106   حسن المعاملة والرفق في المطالبة  
107   الشركة بغير مال  
108   الشركة في الرقيق  
109   الشركة في النخيل  
110   الشركة في الرباع  
111   ذكر الشفعة وأحكامها  
-----------------
>>> 53   كتاب الفرائض  
1   باب الأمر بتعليم الفرائض  
2   ذكر مواريث الأنبياء  
3   ميراث الولد للوالد المنفرد  
4   ميراث الابنة الواحدة المنفردة  
5   ميراث الوالد من ولده  
6   ذكر الكلالة  
7   ذكر ميراث الأخوات على انفرادهن  
8   ذكر الأخوات مع البنات ومنازلهن من التركات  
9   تأويل قول الله عز و جل { إن امرؤ هلك ليس له ولد وله أخت }  
10   توريث ابنة الابن مع الابنة  
11   ابنة الأخ لأب مع أخت لأب وأم  
12   ذكر الجدات والأجداد ومقادير نصيبهم  
13   باب ذكر اسم هذا الرجل الذي أدخل الزهري بينه وبين قبيصة بن ذؤيب  
14   ذو السهم  
15   توريث الخال  
16   باب ذكر اختلاف ألفاظ الناقلين لخبر عائشة في توريث الخال  
17   ذكر اختلاف ألفاظ الناقلين لخبر المقدام بن معد يكرب في توريث الخال  
18   توريث المولود إذا استهل  
19   ميراث ولد الملاعنة  
20   توريث المرأة من دية زوجها  
21   باب توريث القاتل  
22   مواريث المجوس  
23   في الموارثة بين المسلمين والمشركين  
24   ذكر الاختلاف على مالك في حديث أسامة بن زيد فيه  
25   سقوط الموارثة بين الملتين  
26   الصبي يسلم أحد أبويه  
27   توريث المكاتب بقدر ما أدى منه  
28   توريث ذوي الأرحام دون الموالي  
29   توريث الموالي مع ذوي الرحم  
30   ذكر الولاء  
31   إذا مات العتيق وبقي المعتق  
32   باب ميراث موالي الموالاة  
33   بيع الولاء  
34   هبة الولاء  
35   الأخوة والحلف  
36   من لا مولى له  
37   ميراث اللقيط  
-----------------
>>> 54   كتاب الأحباس  
1   حبس ما ترك رسول الله صلى الله عليه و سلم عند وفاته حدثنا أبو عبد الرحمن أحمد بن شعيب النسائي قال  
2   كيف يكتب الحبس وذكر الاختلاف على بن عون في خبر بن عمر فيه  
3   باب حبس المشاع  
4   باب وقف المساجد  
-----------------
>>> 55   كتاب الوصايا  
1   الكراهية في تأخير الوصية  
2   هل أوصى النبي صلى الله عليه و سلم  
3   باب الوصية بالثلث  
4   باب قضاء الدين قبل الميراث وذكر اختلاف ألفاظ الناقلين لخبر جابر فيه  
5   باب إبطال الوصية للوارث  
6   باب إذا أوصى لعشيرته الأقربين  
7   إذا مات فجاءة هل يستحب لأهله أن يتصدقوا عنه  
8   فضل الصدقة عن الميت  
9   ذكر الاختلاف على سفيان  
10   النهي عن الولاية على مال اليتيم  
11   ما للوصي من مال اليتيم إذا قام عليه  
12   اجتناب أكل مال اليتيم  
-----------------
>>> 56   كتاب النحل  
1   ذكر اختلاف ألفاظ الناقلين لخبر النعمان بن بشير في النحل حدثنا أبو عبد الرحمن أحمد بن شعيب النسائي قال  
-----------------
>>> 57   كتاب الهبة  
1    هبة المشاع  
2   رجوع الوالد فيما يعطي ولده وذكر اختلاف الناقلين للخبر في ذلك  
3   ذكر اختلاف ألفاظ الناقلين لخبر عبد الله بن عباس في العائد في هبته  
4   ذكر الاختلاف على طاوس في الراجع في هبته  
-----------------
>>> 58   كتاب الرقبى  
1   باب في الرقبى وذكر الاختلاف على بن أبي نجيح في خبر زيد بن ثابت فيه حدثنا أبو عبد الرحمن أحمد بن شعيب النسائي قال  
2   ذكر الاختلاف على أبي الزبير  
-----------------
>>> 59   كتاب العمرى  
1   باب العمرى ميراث  
2   ذكر اختلاف ألفاظ الناقلين لخبر جابر في العمرى  
3   ذكر الاختلاف على الزهري فيه  
4   ذكر اختلاف يحيى بن أبي كثير ومحمد بن عمرو على أبي سلمة فيه  
5   عطية المرأة بغير إذن زوجها  
-----------------
>>> 60   كتاب الوليمة  
1   الأمر بالوليمة حدثنا أبو عبد الرحمن أحمد بن شعيب بن علي النسائي قال  
2   عدد أيام الوليمة  
3   الوليمة في السفر  
4   هل يولم على بعض نسائه أفضل من سائر نسائه  
5   إجابة الدعوة  
6   إجابة الدعوة إلى ذراع  
7   إجابة الدعوة إن لم يأكل  
8   إجابة الصائم الدعوة  
9   طعام العرس  
10   التشديد في ترك الإجابة  
11   ذكر الوقت الذي يجمع الناس فيه للأكل  
12   استقبال من قد دعي  
13   الهدية لمن عرس  
14   خدمة النساء  
15   ذكر اختلاف هشام وشيبان على يحيى بن أبي كثير فيه  
16   خدمة العروس  
-----------------
>>> 61   أبواب الأطعمة  
1   الأكل على الأنطاع  
2   السفر  
3   الموائد  
4   الأطباق  
5   القصاع  
6   صحاف الذهب  
7   صحاف الفضة  
8   الأقداح  
9   السكرجات  
10   الخبز  
11   خبز الشعير  
12   الخبز المرقق  
13   لحوم الأغنام  
14   تحريم لحوم الخيل  
15   نسخ تحريم لحوم الخيل  
16   النهي عن أكل لحوم الحمر الأهلية  
17   لحم الضباب  
18   ذكر أعضاء الحيوان العراق  
19   الجنب وقطع اللحم بالسكين  
20   الكتف  
21   لحم الظهر  
22   لحم العنق  
23   لحم الذراع  
24   فضل لحم الذراع على غيرها  
25   البطون  
26   القديد  
27   الدباء  
28   تكثير الطعام بالقرع  
29   الكمأة  
30   ذكر الاختلاف على شهر بن حوشب في هذا الحديث  
31   الاختلاف على قتادة  
32   الاختلاف على أبي بشر  
33   الاختلاف على سليمان الأعمش  
34   البصل  
35   الرخصة في أكل البصل والثوم المطبوخ  
36   الثوم  
37   الكراث  
38   البقول التي لها رائحة  
39   الخل  
40   المرق  
41   حسو المرق  
42   الثريد  
43   التلبينة  
44   الحيس  
45   الجشيشة  
46   العصيدة  
47   السويق  
48   السمن  
49   الزيت  
50   الحلواء  
51   العسل  
52   ما ذكر في العسل  
53   التمر وما ذكر فيه  
54   العجوة  
55   عجوة العالية  
56   الرطب  
57   البلح بالتمر  
58   القثاء بالتمر  
59   الجمع بين الخزبر والرطب  
60   النهي عن القران بين التمرتين  
61   استئذان الرجل من يأكل معه في ذلك  
62   قسم المأكول إذ قل  
63   الأترج  
64   الكباث  
65   الضغابيس  
-----------------
>>> 62   كتاب آداب الأكل  
1   ترك غسل اليدين قبل الطعام  
2   غسل الجنب يديه إذا طعم  
3   وضوء الجنب إذا أراد أن يأكل  
4   كم يجتمع على مائدة  
5   النهي عن الجلوس على مائدة يدار عليها الخمر  
6   الأكل متكئا  
7   الأكل مقعيا  
8   الأكل باليمين  
9   النهي عن الأكل بالشمال  
10   بكم إصبع يأكل  
11   من يبدأ بالأكل  
12   ذكر ما يستحل به الشيطان الطعام  
13   الأمر بالتسمية على الطعام  
14   ذكر الله تعالى وتبارك عند الطعام  
15   إذا نسي الذكر ثم ذكر  
16   أكل الإنسان مما يليه إذا كان معه من يأكل  
17   إذا أكل وحده  
18   الأكل من جوانب الثريد  
19   وضع اليد على ذروتها وذكر اختلاف عيسى بن يونس وبقية بن الوليد على صفوان في حديث عبد الله بن بسر فيه  
20   إذا سقطت اللقمة  
21   سلت القصعة  
22   النهي عن رفع الصحفة حتى تلعق  
23   ذكر القدر الذي يستحب للإنسان من الأكل  
24   الفرق بين المسلم والكافر في الأكل  
25   تفسير ذلك  
26   كم يكفي طعام الواحد وذكر اختلاف ألفاظ الناقلين للخبر فيه  
27   لعق الأصابع بعد الأكل  
28   مسح اليد بالمنديل بعد اللعق  
29   العلة في اللعق  
-----------------
>>> 63   كتاب الأشربة المحظورة  
1   ذكر الأشربة المحظورة  
2   قوله جل ثناؤه { ومن ثمرات النخيل والأعناب تتخذون منه سكرا }  
3   ذكر شراب الخليطين  
4   البلح والتمر  
5   الزهو والتمر  
6   الزهو والرطب  
7   الزهو والبسر  
8   البسر والرطب  
9   البسر والتمر  
10   التمر والزبيب  
11   الرطب والزبيب  
12   البسر والزبيب  
13   اثبات اسم الخمر لكل مسكر من الأشربة  
14   تحريم كل شراب أسكر  
15   تحريم كل شراب أسكر كثيره  
16   نبيذ الجر  
17   المقير  
18   الدباء والمزفت  
19   الحنتم والنقير  
20   النهي عن نبيذ الجر  
21   الرخصة في نبيذ الجر  
22   ذكر الأشربة المباحة  
23   شرب اللبن بالماء  
24   لبن الغنم  
25   لبن البقر  
26   النهي عن لبن الجلالة  
27   متى يشرب ساقي القوم  
28   من يناول فضل الشراب  
29   النهي عن الشراب في آنية الذهب والفضة أحاديث  
30   التشديد في الشرب في آنية الذهب والفضة  
31   الشرب في الأقداح  
32   وضوء الجنب إذا أراد أن يشرب  
33   النفخ في الإناء  
34   النهي عن التنفس في الإناء  
35   الرخصة في التنفس في الإناء  
36   الشرب باليمين  
37   النهي عن الشرب بالشمال  
38   الفرق بين شرب المسلم وبين شرب الكافر  
-----------------
>>> 64   كتاب الدعاء بعد الأكل  
1   القول بعد الشرب  
2   القول بعد الشبع  
3   القول عند انقضاء الطعام  
4   ما يقول إذا رفعت مائدته  
5   نوع آخر  
6   ثواب الحمد لله  
7   الدعاء لمن أكل عنده  
8   الدعاء لمن أفطر عنده  
9   الرخصة في القيام عن الطعام قبل أن يرفع  
10   أخذ الطيب في العرس  
11   باب التشديد فيمن بات وفي يده ريح غمر  
12   ما يفعل صبيحة بنائه  
-----------------
>>> 65   كتاب القسامة  
1   ذكر القسامة التي كانت في الجاهلية حدثنا أبو عبد الرحمن أحمد بن شعيب النسائي قال  
2   القسامة  
3   تبدئة أهل الدم في القسامة  
4   ذكر اختلاف ألفاظ الناقلين لخبر لسهل فيه  
5   باب القود  
6   ذكر اختلاف ألفاظ الناقلين لخبر علقمة بن وائل فيه  
7   تأويل قول الله تعالى { وإن حكمت فاحكم بينهم بالقسط } وذكر الاختلاف على عكرمة في ذلك  
8   باب القود بين الأحرار والمماليك في النفس  
9   القود من السيد للمولى  
10   قتل المرأة بالمرأة  
11   القود من الرجل للمرأة  
12   سقوط القود من المسلم للكافر  
13   تعظيم قتل المعاهد  
14   سقوط القود بين المماليك فيما دون النفس  
15   القصاص في السن  
16   القصاص من الثنية  
17   القود من العضة وذكر اختلاف ألفاظ الناقلين لخبر عمران بن حصين في ذلك  
18   باب الرجل يدفع عن نفسه  
19   ذكر الاختلاف على عطاء في هذا الحديث  
20   القود في الطعنة  
21   القود من اللطمة  
22   القود من الجبذة  
23   القصاص من السلاطين  
24   السلطان يصاب على يده  
25   القود بغير حديدة  
26   تأويل قول الله جل ثناؤه { فمن عفي له من أخيه شيء فاتباع بالمعروف وأداء إليه بإحسان }  
27   الأمر بالعفو عن القصاص  
28   هل يؤخذ من قاتل العمد الدية إذا عفا ولي المقتول عن القود  
29   عفو النساء عن الدم  
30   باب من قتل بحجر أو سوط  
31   كم دية شبه العمد وذكر الاختلاف على أيوب في حديث القاسم بن ربيعة فيه  
32   ذكر الاختلاف على خالد الحذاء  
33   ذكر دية أسنان الخطأ  
34   كم الدية من الورق  
35   عقل المرأة  
36   كم دية الكافر  
37   دية المكاتب  
38   باب دية جنين المرأة  
39   صفة شبه العمد وعلى من دية الأجنة وشبه العمد وذكر اختلاف ألفاظ الناقلين لخبر إبراهيم عن عبيد بن نضيلة عن مغيرة بن شعبة  
40   هل يؤخذ أحد بجريرة غيره  
41   العين العوراء السادة لمكانها إذا طمست  
42   عقل الأسنان  
43   باب عقل الأصابع  
44   المواضح  
45   ذكر حديث عمرو بن حزم في العقول واختلاف الناقلين له  
46   تضمين المتطيب  
-----------------
>>> 66   كتاب الوفاة  
1   تأويل قوله عز و جل بسم الله الرحمن الرحيم إذا جاء نصر الله والفتح ورأيت الناس يدخلون في دين الله أفواجا فسبح بحمد ربك واستغفره إنه كان توابا  
2   ذكر ما استدل به النبي صلى الله عليه و سلم على اقتراب أجله  
3   بدء علة النبي صلى الله عليه و سلم  
4   ذكر ما كان يعالج به النبي صلى الله عليه و سلم في مرضه  
5   ذكر ما كان رسول الله صلى الله عليه و سلم يقرأ على نفسه إذا اشتكى  
6   ذكر شدة وجع رسول الله صلى الله عليه و سلم  
7   ذكر ما كان يفعله رسول الله صلى الله عليه و سلم في وجعه  
8   ذكر ما كان يقوله النبي صلى الله عليه و سلم في مرضه  
9   ذكر قوله صلى الله عليه و سلم حين شخص بصره بأبي هو وأمي  
10   ذكر أحدث الناس عهدا برسول الله صلى الله عليه و سلم  
11   ذكر اليوم الذي توفي فيه النبي صلى الله عليه و سلم والساعة التي توفي فيها  
12   الموضع الذي قبل من رسول الله صلى الله عليه و سلم حين توفي  
13   ذكر ما سجي به رسول الله صلى الله عليه و سلم  
